Symbol,Symbol Url,Column-1,Price,Change %
Russell 2000,https://finance.yahoo.com/quote/%5ERUT/,,"2,670.34",+3.60%
Dow 30,https://finance.yahoo.com/quote/%5EDJI/,,"50,115.67",+2.47%
Nasdaq,https://finance.yahoo.com/quote/%5EIXIC/,,"23,031.21",+2.18%
S&P 500,https://finance.yahoo.com/quote/%5EGSPC/,,"6,932.30",+1.97%
S&P/TSX Composite index,https://finance.yahoo.com/quote/%5EGSPTSE/,,"32,470.98",+1.49%
IBOVESPA,https://finance.yahoo.com/quote/%5EBVSP/,,"182,949.78",+0.45%
US Dollar Index,https://finance.yahoo.com/quote/DX-Y.NYB/,,97.68,+0.05%
VIX,https://finance.yahoo.com/quote/%5EVIX/,,17.76,-18.42%
